# y_true,y_pred,x,y
1038.6600,631.3808,121.3736,-27.5176
816.0900,756.9954,121.3621,-27.4644
593.5200,516.9226,121.4603,-27.4484
296.7600,2258.7810,121.3926,-27.4390
741.9000,608.8779,121.4385,-27.4022
445.1400,2873.8489,121.4614,-27.4014
222.5700,600.6555,121.4962,-27.3578
667.7100,1779.9826,121.4451,-27.5212
3857.8800,2412.2151,121.3906,-27.5131
667.7100,1962.2858,121.4245,-27.4492
148.3800,547.6506,121.4926,-27.4265
222.5700,625.0364,121.3889,-27.4050
593.5200,625.2977,121.4948,-27.4031
370.9500,761.1489,121.3608,-27.3608
2225.7000,3099.9387,121.4274,-27.5045
296.7600,1139.9443,121.4823,-27.4860
370.9500,677.5444,121.4623,-27.4484
816.0900,636.3975,121.4175,-27.4346
296.7600,568.4640,121.4027,-27.4122
2225.7000,711.5698,121.4137,-27.3865
593.5200,438.0845,121.4831,-27.3779
1854.7500,1060.8664,121.4160,-27.5223
519.3300,916.5322,121.4941,-27.5218
2967.6000,714.4413,121.3847,-27.4958
1706.3700,401.5212,121.3800,-27.4646
4006.2600,661.7861,121.3923,-27.4595
2596.6500,773.3674,121.4237,-27.4520
519.3300,557.0811,121.4342,-27.3484
370.9500,1006.1421,121.4746,-27.5052
2003.1300,1431.5614,121.4364,-27.4947
370.9500,1093.4414,121.4578,-27.4903
593.5200,474.1412,121.4850,-27.4696
593.5200,458.1743,121.4877,-27.4680
816.0900,447.7943,121.4400,-27.3593
